rep,id,Cl,V1,Q,V2,R0,kout,IC50
1,13,2.80887,0.618765,2.30144,4.9301,1116.63,0.00616752,2.33249e-10
2,13,2.81686,0.597541,2.32698,4.97503,1107.65,0.00489213,1.03251e-10
3,13,2.81953,0.587384,2.33213,4.94725,1111.4,0.00663932,4.15538e-10
4,13,2.81614,0.559182,2.33426,4.97181,1105.35,0.00590371,1.93948e-10
5,13,2.81186,0.574585,2.33697,4.95903,1112.13,0.00585909,1.47457e-10
6,13,2.80416,0.576322,2.30382,4.96821,1111.44,0.00889796,4.28679e-10
7,13,2.80257,0.572615,2.30365,4.95242,1108.99,0.00713253,2.47691e-10
8,13,2.81683,0.574759,2.32719,4.99481,1108.32,0.005909,2.41756e-10
9,13,2.83707,0.582803,2.33141,4.94019,1116.74,0.00615165,1.00253e-10
10,13,2.81134,0.556486,2.33315,4.90347,1114.89,0.00655792,2.34032e-10
1,14,2.80244,0.646501,2.34141,4.898,1103.76,0.00697164,4.45096e-10
2,14,2.81624,0.63601,2.33095,4.89418,1111.48,0.00597157,2.57018e-10
3,14,2.80906,0.616132,2.31487,4.88417,1111.68,0.00651378,1.65259e-10
4,14,2.81317,0.614928,2.33754,4.90569,1115.72,0.00770974,2.65675e-10
5,14,2.81272,0.603317,2.33314,4.88653,1109.7,0.00612635,1.36026e-10
6,14,2.80789,0.609656,2.40028,4.97043,1108.55,0.00786086,1.70528e-10
7,14,2.81949,0.638503,2.3315,4.88897,1117.1,0.0040219,1.77298e-10
8,14,2.80503,0.635897,2.34916,4.91649,1119.92,0.00506394,3.18009e-10
9,14,2.80995,0.687322,2.34702,4.95821,1110.4,0.00675443,1.57808e-10
10,14,2.81641,0.644735,2.36653,4.85897,1105.18,0.00517169,1.43756e-10
1,15,2.81795,0.665994,2.34883,4.9561,1116.26,0.00432665,4.6719e-10
2,15,2.81063,0.639943,2.33524,4.96266,1109.05,0.00742774,1.9243e-10
3,15,2.81126,0.642568,2.34086,4.98638,1112.36,0.00970941,3.11509e-10
4,15,2.79884,0.623664,2.36427,4.94038,1111.97,0.0099493,1.56232e-10
5,15,2.80321,0.668182,2.31533,4.84824,1105.94,0.00682932,2.29137e-10
6,15,2.80682,0.655899,2.3571,4.97309,1115.72,0.00765542,3.34849e-10
