id,Cl_SAEM,V1_SAEM,Q_SAEM,V2_SAEM,R0_SAEM,kout_SAEM,IC50_SAEM,Cl_mean,V1_mean,Q_mean,V2_mean,R0_mean,kout_mean,IC50_mean,Cl_mode,V1_mode,Q_mode,V2_mode,R0_mode,kout_mode,IC50_mode,Cl_sd,V1_sd,Q_sd,V2_sd,R0_sd,kout_sd,IC50_sd
36,2.81421,0.420769,2.3381,4.92588,1114.65,0.00911082,2.31636e-10,2.81446,0.422761,2.33948,4.92461,1116,0.00960721,2.05121e-10,2.81494,0.420062,2.34042,4.92309,1114.8,0.00958664,2.00799e-10,0.00836029,0.0144654,0.0183944,0.0427677,5.89512,0.00156728,7.89614e-11
37,2.81514,0.571355,2.3303,4.95024,1114.93,0.00943332,2.36262e-10,2.81601,0.56821,2.32944,4.95362,1115.9,0.00983219,2.31247e-10,2.81579,0.567012,2.33173,4.94939,1115.19,0.0095219,2.04835e-10,0.00709379,0.0216937,0.0171172,0.0437473,5.30584,0.00142129,1.06403e-10
38,2.81281,0.513988,2.35068,4.91342,1114.19,0.00985342,2.26677e-10,2.81502,0.515374,2.35206,4.92301,1115.64,0.00987459,2.19453e-10,2.81269,0.513239,2.35171,4.9252,1115.59,0.00975611,2.00421e-10,0.00691825,0.020202,0.0194616,0.0497323,5.73909,0.00165145,9.04945e-11
39,2.81916,0.584891,2.31865,4.949,1115.03,0.00989816,2.14051e-10,2.82022,0.585605,2.31991,4.94566,1115.6,0.00998594,2.31604e-10,2.82029,0.583305,2.32019,4.9444,1115.35,0.00953784,2.07526e-10,0.00676594,0.0203489,0.0182607,0.047653,6.29537,0.00166186,1.1712e-10
40,2.81352,1.07482,2.33512,4.92571,1115.43,0.00982049,2.39204e-10,2.81334,1.07486,2.3342,4.92543,1115.54,0.00964959,2.33958e-10,2.81377,1.07614,2.33494,4.93101,1115.37,0.0100039,2.04684e-10,0.00725529,0.0375906,0.0185423,0.0441488,6.31396,0.0014609,9.36643e-11
41,2.81247,0.749565,2.33293,4.94287,1114.99,0.00964698,2.02879e-10,2.81407,0.75032,2.33924,4.94241,1114.8,0.00969519,2.27245e-10,2.8132,0.74855,2.33802,4.94418,1115.56,0.00947394,2.07007e-10,0.00727958,0.0270094,0.0185529,0.0447898,5.95718,0.00148115,9.11466e-11
42,2.81399,0.76088,2.33571,4.91695,1115.11,0.00960775,2.40185e-10,2.81386,0.761427,2.33411,4.93052,1115.8,0.00972249,2.27834e-10,2.81399,0.762682,2.3377,4.93318,1115.44,0.00956321,2.06544e-10,0.0073001,0.0262852,0.0175619,0.0448429,5.61213,0.00151368,1.01928e-10
43,2.81271,0.558065,2.34066,4.92838,1114.2,0.00974031,2.00027e-10,2.81442,0.55829,2.3435,4.92681,1115.56,0.0100904,2.08044e-10,2.81402,0.558971,2.34106,4.92999,1115.59,0.0102576,2.03352e-10,0.00754917,0.0181468,0.016914,0.0449336,5.95052,0.00166942,9.55303e-11
44,2.81644,0.773043,2.34129,4.92656,1115.33,0.00981126,2.24474e-10,2.81552,0.77332,2.34398,4.93745,1115.8,0.00967622,2.24095e-10,2.81508,0.769281,2.34125,4.93159,1115.65,0.00947003,2.07427e-10,0.00771896,0.0287303,0.0200127,0.0452223,5.94438,0.00170423,1.10856e-10
45,2.81373,0.483718,2.33685,4.92325,1114.51,0.00940847,2.22537e-10,2.81372,0.482758,2.33929,4.92782,1115.5,0.00975197,2.13876e-10,2.81455,0.48054,2.33896,4.92432,1115.24,0.0095411,2.0311e-10,0.00768865,0.0192683,0.0186622,0.0415965,5.88978,0.00161876,8.83991e-11
