rep,id,eta_Cl,eta_V1,eta_Q,eta_V2,eta_R0,eta_kout,eta_IC50
2,19,0.00340525,0.346723,-0.0153694,0.000939749,-0.0111607,0.00764455,-0.136429
3,19,-0.000560129,0.239246,-0.0106305,-0.0190882,-0.00478221,0.0381164,0.203789
4,19,0.00171262,0.39093,0.0083946,0.0054084,-0.00446134,-0.04375,0.864701
5,19,-0.00230537,0.306863,-0.00503712,0.00339282,0.00923585,0.0416387,0.043369
6,19,0.00348572,0.309109,0.00596067,0.00210098,-0.00075553,-0.0678195,-0.134791
7,19,0.00157114,0.3108,0.000674258,-0.0185782,-0.00389831,0.0104863,0.493805
8,19,0.000857333,0.353998,-3.49371e-05,-0.013834,0.00130109,-0.0575868,0.035415
9,19,-0.00180544,0.247446,-0.0235613,-0.00873908,-0.0107277,-0.0503809,-0.10504
10,19,-0.000144377,0.289215,-0.00255745,0.00411554,0.00144967,-0.0831684,-1.09581
1,20,-0.000629707,-0.333433,-0.00815234,-0.00165981,0.000595359,-0.230682,0.220481
2,20,-0.00103221,-0.376524,0.00432907,0.0161317,-0.000263817,0.00523378,-0.4686
3,20,-0.00137511,-0.302645,0.0116625,0.0146012,0.00090871,0.23191,0.220303
4,20,0.00226382,-0.391874,-0.00529291,-0.0131686,0.00356893,0.297299,-0.248923
5,20,-0.00585423,-0.428521,-0.0191642,0.0104935,-0.00324185,0.24675,0.531144
6,20,-0.00214171,-0.378047,-0.00721087,0.0073655,0.00623923,0.00601137,0.356842
7,20,-0.00275477,-0.382581,-0.00335126,0.00409933,0.00175591,-0.0471331,-0.481469
8,20,0.000614339,-0.392455,-0.00754472,-0.00514775,0.00375802,0.214918,0.379849
9,20,-0.00202566,-0.304238,-0.000347872,0.0126743,0.00254458,0.0660883,-0.720189
10,20,-0.00556394,-0.37624,0.00129948,-0.000666644,3.47891e-05,0.13159,0.238309
1,21,0.0019174,0.117842,-0.000687935,0.0240634,-0.000359896,0.0967807,-0.0324771
2,21,0.000880256,0.13035,0.00157329,-0.00676607,-0.00656937,-0.0381215,-0.142851
3,21,-0.00691003,0.122599,-0.00799594,0.0147237,-0.00289135,0.0904261,-0.295685
4,21,-0.000446178,0.0636355,-0.00546909,-0.0132246,0.00360738,0.192357,-0.6205
5,21,0.000516702,0.0733342,0.00692423,0.0210161,-0.00211821,-0.13854,-0.28265
6,21,-0.00289564,0.168899,-0.00423805,0.00465404,-0.00209898,-0.125598,0.0837484
7,21,-0.00350688,0.106559,0.00299162,0.00307875,0.00669808,0.138235,0.633047
8,21,0.00110424,0.165876,-0.00398079,-0.0050766,0.00240508,0.334717,-0.111819
9,21,0.00018032,0.151487,-0.01285,0.0128791,0.00154602,-0.154166,0.130738
10,21,0.00253396,0.0721885,-0.0106071,-0.0102231,0.000920608,-0.0780725,-0.199112
1,22,0.00111815,-0.287368,0.0166774,0.00416897,-0.0016142,0.108824,0.227152
2,22,-0.000771955,-0.425419,0.0126122,-0.00238356,0.00324346,-0.108336,-0.368382
3,22,0.00160608,-0.426752,0.0021372,0.0033236,0.00336447,0.226662,0.179053
4,22,-0.00286427,-0.399919,0.0180462,0.00533835,-0.00637547,-0.0223404,-0.450546
5,22,-0.000241411,-0.396039,0.00230609,-0.00600361,0.00356909,-0.189016,0.18415
6,22,-0.000949366,-0.370971,0.00680525,0.00487168,0.00132266,-0.00215679,0.269301
7,22,0.00225971,-0.404647,-0.000711691,-0.00962343,0.00388169,0.00787055,0.490063
8,22,-0.00171753,-0.386122,0.0124996,-0.000710178,0.00483963,0.323174,0.321038
9,22,-0.00218484,-0.402139,0.00936286,-0.00300928,-0.000560756,-0.280057,-0.204145
10,22,0.00151715,-0.404473,-0.00427289,-0.0136884,0.00120331,-0.150969,0.497026
1,23,0.00411843,0.622613,0.00836922,0.0147893,0.000291548,-0.254755,0.164384
2,23,0.00339653,0.612344,0.00416486,0.00098479,0.00756967,0.372552,-0.141403
3,23,0.00326394,0.554883,-0.000361547,0.00576269,-0.00425996,-0.0752307,0.404162
