rep,id,eta_V,eta_Cl
5,42,0.0361212,-0.354901
6,42,-0.0327148,-0.346649
7,42,0.0265141,-0.33571
8,42,0.0115477,-0.349511
9,42,0.0480952,-0.340722
10,42,0.0231982,-0.329866
1,43,0.211418,0.196224
2,43,0.184924,0.184599
3,43,0.241414,0.222219
4,43,0.242538,0.207356
5,43,0.194275,0.174058
6,43,0.164042,0.170598
7,43,0.246287,0.208154
8,43,0.208632,0.19466
9,43,0.238567,0.204273
10,43,0.213653,0.184006
1,44,-0.145384,0.2463
2,44,-0.197921,0.213382
3,44,-0.141861,0.251445
4,44,-0.17392,0.234091
5,44,-0.142971,0.248395
6,44,-0.175562,0.233505
7,44,-0.121419,0.260554
8,44,-0.168871,0.234283
9,44,-0.176506,0.23595
10,44,-0.168887,0.235939
1,45,-0.33565,0.103647
2,45,-0.293976,0.122148
3,45,-0.31489,0.112629
4,45,-0.331099,0.0845526
5,45,-0.34719,0.0881334
6,45,-0.328264,0.0996317
7,45,-0.294252,0.122179
8,45,-0.362702,0.0731723
9,45,-0.308066,0.118663
10,45,-0.36977,0.0706199
