rep,id,eta_V,eta_Cl
6,35,0,0.58521
7,35,0,0.600867
8,35,0,0.599239
9,35,0,0.590478
10,35,0,0.588145
1,36,0,-0.337117
2,36,0,-0.332524
3,36,0,-0.346478
4,36,0,-0.342399
5,36,0,-0.344965
6,36,0,-0.341158
7,36,0,-0.353288
8,36,0,-0.338876
9,36,0,-0.371096
10,36,0,-0.359088
1,37,0,-0.255308
2,37,0,-0.257015
3,37,0,-0.252884
4,37,0,-0.247735
5,37,0,-0.261995
6,37,0,-0.255388
7,37,0,-0.248433
8,37,0,-0.263379
9,37,0,-0.267635
10,37,0,-0.26201
1,38,0,0.484516
2,38,0,0.479984
3,38,0,0.473476
4,38,0,0.484284
5,38,0,0.483527
6,38,0,0.473081
7,38,0,0.491174
8,38,0,0.48433
9,38,0,0.47426
10,38,0,0.484866
1,39,0,-0.654919
2,39,0,-0.658596
3,39,0,-0.640252
4,39,0,-0.636682
5,39,0,-0.6425
6,39,0,-0.633509
7,39,0,-0.648088
8,39,0,-0.649508
9,39,0,-0.623978
10,39,0,-0.648887
1,40,0,0.256369
2,40,0,0.248154
3,40,0,0.251738
4,40,0,0.252519
5,40,0,0.248567
6,40,0,0.24621
7,40,0,0.251643
8,40,0,0.244487
9,40,0,0.249723
10,40,0,0.240488
1,41,0,-0.396646
2,41,0,-0.411357
3,41,0,-0.385818
4,41,0,-0.379436
5,41,0,-0.412762
6,41,0,-0.414555
7,41,0,-0.394468
8,41,0,-0.402201
9,41,0,-0.429259
10,41,0,-0.403987
1,42,0,0.108436
2,42,0,0.126347
3,42,0,0.10995
4,42,0,0.112431
5,42,0,0.1098
6,42,0,0.133086
7,42,0,0.123821
8,42,0,0.12649
9,42,0,0.108781
10,42,0,0.143299
1,43,0,0.316495
2,43,0,0.315413
3,43,0,0.321133
4,43,0,0.322112
5,43,0,0.323772
6,43,0,0.318915
7,43,0,0.31851
8,43,0,0.32986
9,43,0,0.324497
10,43,0,0.329801
1,44,0,-0.104093
2,44,0,-0.118487
3,44,0,-0.116469
4,44,0,-0.106185
5,44,0,-0.10963
6,44,0,-0.108144
7,44,0,-0.110388
8,44,0,-0.121303
9,44,0,-0.0884534
10,44,0,-0.108726
1,45,0,-0.693781
2,45,0,-0.720466
3,45,0,-0.698341
4,45,0,-0.714113
5,45,0,-0.725736
6,45,0,-0.723538
7,45,0,-0.727746
8,45,0,-0.712881
9,45,0,-0.718487
10,45,0,-0.714657
