rep,id,Cl,V1,Q,V2,S,R0,gamma,MTT
6,13,2.82243,0.562467,2.351,4.90647,20.1771,982.333,0.430505,84.9815
7,13,2.81442,0.608842,2.35673,5.04546,19.6526,989.431,0.434592,84.8519
8,13,2.81091,0.608698,2.34569,5.0071,20.0644,980.206,0.434986,85.1727
9,13,2.82398,0.532628,2.37901,5.01702,20.606,984.633,0.438549,85.3564
10,13,2.81089,0.57604,2.33175,4.94855,20.3361,983.694,0.436962,85.0908
1,14,2.82316,0.638149,2.32949,4.91434,20.2686,987.774,0.434929,84.7588
2,14,2.82267,0.657911,2.35228,4.94157,19.8828,985.244,0.433966,85.1148
3,14,2.81759,0.638801,2.32537,4.97733,20.0656,981.642,0.440343,85.0935
4,14,2.82007,0.676127,2.3185,4.94755,19.6905,979.593,0.432506,85.2418
5,14,2.81808,0.631854,2.34887,4.97747,19.9297,985.553,0.436541,85.0371
6,14,2.81274,0.620119,2.33208,4.91177,20.3808,987.101,0.431905,84.966
7,14,2.81366,0.651394,2.35372,4.94899,20.0251,984.246,0.430259,84.9229
8,14,2.82001,0.598248,2.36593,4.97624,20.2792,984.099,0.438012,85.2096
9,14,2.8256,0.669008,2.32691,4.8839,19.9632,983.218,0.436012,85.0974
10,14,2.81128,0.650021,2.32903,4.97683,20.217,985.422,0.431696,84.9819
1,15,2.8119,0.650098,2.33251,4.98427,19.9871,982.46,0.434816,85.2365
2,15,2.81846,0.677086,2.32252,4.98046,20.564,983.319,0.438668,84.5772
3,15,2.81838,0.695888,2.334,4.91368,20.1389,982.93,0.431603,85.0556
4,15,2.82202,0.655282,2.37484,4.85487,19.5754,986.715,0.443947,85.1197
5,15,2.82184,0.655507,2.33596,4.93144,19.6353,980.259,0.439285,85.1811
6,15,2.82117,0.629848,2.36135,4.96192,20.0056,983.865,0.436896,84.6039
7,15,2.81875,0.655261,2.33139,4.89974,19.7174,984.913,0.435796,85.1101
8,15,2.81289,0.662875,2.33424,4.99022,20.0689,986.419,0.436598,85.1871
9,15,2.80645,0.639506,2.35984,4.98216,20.4991,984.825,0.435393,85.0391
10,15,2.81891,0.654714,2.33015,4.88363,19.6581,980.642,0.441681,85.057
1,16,2.82945,0.623303,2.35576,5.03906,20.3466,984.318,0.436636,85.1002
2,16,2.82085,0.596803,2.31544,4.96448,19.9713,981.865,0.437246,85.1593
3,16,2.81287,0.650981,2.30918,4.89034,20.185,985.866,0.4341,85.1868
