rep,id,eta_V,eta_Cl
1,31,-0.0813995,0.431673
2,31,0.0348881,0.53923
3,31,-0.125632,0.39094
4,31,0.0579289,0.559581
5,31,-0.126864,0.385218
6,31,0.00465179,0.519737
7,31,-0.122536,0.399341
8,31,0.0274117,0.536487
9,31,-0.0953752,0.425326
10,31,0.0473621,0.545095
1,32,-0.198928,-0.0913239
2,32,-0.303911,-0.186676
3,32,-0.231263,-0.111815
4,32,-0.363077,-0.231633
5,32,-0.267221,-0.140886
6,32,-0.34837,-0.221527
7,32,-0.277605,-0.157603
8,32,-0.348158,-0.213498
9,32,-0.249775,-0.139467
10,32,-0.326876,-0.203916
1,33,-0.231928,-0.312048
2,33,-0.143368,-0.22219
3,33,-0.202997,-0.281535
4,33,-0.0905432,-0.189602
5,33,-0.19497,-0.268116
6,33,-0.100682,-0.205328
7,33,-0.171958,-0.258235
8,33,-0.0962785,-0.189961
9,33,-0.113471,-0.211401
10,33,-0.0830641,-0.17975
1,34,-0.151554,-0.370195
2,34,-0.225112,-0.427607
3,34,-0.165406,-0.378749
4,34,-0.161458,-0.368152
5,34,-0.211534,-0.405878
6,34,-0.194441,-0.401577
7,34,-0.207173,-0.396774
8,34,-0.271795,-0.450076
9,34,-0.199276,-0.393054
10,34,-0.27643,-0.467572
1,35,0.461973,1.00822
2,35,0.567229,1.10377
3,35,0.463382,1.01946
4,35,0.552926,1.10021
5,35,0.431341,0.983012
6,35,0.573827,1.11184
7,35,0.465941,1.01267
8,35,0.5246,1.06575
9,35,0.438202,0.988986
10,35,0.553202,1.10525
1,36,-0.211851,-0.500381
2,36,-0.123227,-0.4276
3,36,-0.226989,-0.495008
4,36,-0.167856,-0.451412
5,36,-0.233895,-0.530304
6,36,-0.164338,-0.46556
7,36,-0.302258,-0.576463
8,36,-0.125119,-0.418128
9,36,-0.305296,-0.574712
10,36,-0.126579,-0.432018
1,37,0.391848,0.066599
2,37,0.315702,0.010742
3,37,0.391649,0.0630467
4,37,0.214429,-0.0815436
5,37,0.383931,0.0600822
6,37,0.263755,-0.0278678
7,37,0.370302,0.0370946
8,37,0.350227,0.0214304
9,37,0.325066,0.00940279
10,37,0.26524,-0.0311951
1,38,0.0337268,0.498935
2,38,0.177173,0.630547
3,38,0.0294802,0.489568
4,38,0.0924326,0.553497
5,38,0.0438956,0.508855
6,38,0.146948,0.60413
7,38,0.0505626,0.5092
8,38,0.125068,0.589094
9,38,0.0703238,0.528668
10,38,0.124276,0.582429
1,39,0.119243,-0.54375
2,39,-0.0748479,-0.696216
3,39,0.0561569,-0.596
4,39,-0.103048,-0.716142
5,39,-0.0154153,-0.638453
6,39,-0.137086,-0.750784
7,39,0.0431816,-0.593579
8,39,-0.0718364,-0.682814
9,39,0.0202838,-0.631252
10,39,0.117687,-0.54855
1,40,-0.202974,0.0726287
2,40,-0.23519,0.0416183
3,40,-0.215218,0.059986
